discipline,firstname,lastname,country,prob_top10,age,height,arm_span,gender
boulder,annie,sanders,usa,1.0,16.75,162.0,,female
boulder,erin,mcneice,gbr,1.0,21.0,162.0,,female
boulder,oriane,bertone,fra,1.0,18.5,164.0,,female
boulder,miho,nonaka,jpn,0.9296815622030594,27.0,163.0,,female
boulder,mao,nakamura,jpn,0.852740141352863,24.0,156.0,,female
boulder,agathe,calliet,fra,0.7808764345128298,21.0,158.0,,female
boulder,janja,garnbret,slo,0.777503326995954,24.5,164.0,,female
boulder,anon,matsufuji,jpn,0.652730944015175,19.7,160.0,,female
boulder,hung ying,lee,tpe,0.5207845290006136,39.0,170.0,,female
boulder,stasa,gejo,srb,0.48062232841313846,26.0,175.0,185.0,female
lead,annie,sanders,usa,1.0,17.0,162.0,,female
lead,erin,mcneice,gbr,1.0,20.666666666666668,161.33333333333334,,female
lead,janja,garnbret,slo,1.0,24.666666666666668,164.0,,female
lead,ivon,lawerenz,ger,0.9838885216136378,43.0,168.0,,female
lead,phoebe,barkan,usa,0.9816774232299281,39.0,172.0,,female
lead,edith,scheinecker,aut,0.9801557598820604,57.0,160.0,,female
lead,beatriz,gandara carnero,esp,0.9798431725683802,44.0,172.0,,female
lead,jasmin,plank,aut,0.9776979241833772,36.0,169.0,,female
lead,eddie,sparks,aus,0.9760252483492153,54.0,,,female
lead,hiromi,aoki,jpn,0.9754960238643233,53.0,,,female
speed,jimin,jeong,kor,1.0,20.0,,,female
speed,lijuan,deng,chn,1.0,24.0,,,female
speed,natalia,kalucka,pol,1.0,22.0,165.0,,female
speed,yafei,zhou,chn,1.0,20.0,,,female
speed,yumei,qin,chn,0.9717155184829952,18.0,,,female
speed,emma,hunt,usa,0.9631835869434032,21.0,173.0,,female
speed,shixue,meng,chn,0.9456413314686435,17.0,,,female
speed,shaoqin,zhang,chn,0.9402000777559637,25.0,,,female
speed,aleksandra,miroslaw,pol,0.8970890958149856,30.0,162.0,,female
speed,nora,glez-tomich,aus,0.8048907214298066,14.0,164.0,,female
